claim_id,claim_amount,claim_type,claim_date,claimant_age,claim_length,is_fraudulent,reserve_amount
1,37516.55787285151,auto,2025-06-11,45,24,0,42209.562348620515
2,95076.35921035062,auto,2024-12-12,24,20,0,137498.1846184144
3,73226.19478695937,home,2025-01-14,52,29,0,79067.55391989528
4,59905.98257128396,health,2025-05-13,72,24,1,62315.23745398856
5,15686.262180199408,health,2025-05-21,45,18,0,8632.509809789435
6,15683.852581586645,health,2025-04-13,31,10,1,8828.557870939707
7,5902.552855603126,auto,2024-09-16,73,9,1,4057.1007659355837
8,86630.99696291602,auto,2025-07-02,27,25,1,46128.473805269394
9,60151.38967314656,life,2025-01-19,33,8,1,74789.40452266691
10,70836.45052182494,auto,2025-08-15,33,26,1,86656.37655071744
11,2156.3909801506643,auto,2024-11-30,71,29,0,1371.5859267969913
12,96993.99423098323,auto,2025-02-14,48,10,0,129591.62919587588
13,83261.01981596214,health,2025-02-12,59,17,1,54518.1530225374
14,21312.677156759786,health,2024-12-02,42,2,1,17075.196631552222
15,18264.314223989353,auto,2024-12-16,30,6,1,13679.549432792359
16,18422.11053435804,health,2025-07-07,23,26,1,16069.73778981784
17,30493.800071657817,life,2025-02-27,61,5,1,23012.565998372876
18,52523.16752006056,health,2025-05-12,26,28,1,51942.83517844591
19,43251.30736234737,life,2025-05-06,62,9,0,39246.57717948793
20,29193.79110578439,home,2025-06-01,53,5,0,43398.59917804393
21,61224.10418276571,auto,2025-03-28,73,18,1,34036.092778195176
22,14035.436679138978,health,2024-10-17,60,26,0,9013.296044806988
23,29285.250388668293,life,2025-08-04,37,20,0,16189.644724452797
24,36699.5481450398,home,2025-01-26,35,9,1,41317.86313892485
25,45661.391423281886,home,2025-03-08,75,17,1,25319.66516382905
26,78539.07854316206,health,2025-07-28,60,27,1,104962.74550198622
27,20047.410837620137,health,2024-12-13,74,17,1,20286.74947173936
28,51472.0203975198,home,2025-06-08,38,12,1,52862.157400869066
29,59282.21542931804,auto,2025-08-18,21,7,1,62933.67430477513
30,4740.3962307277725,auto,2025-04-29,67,27,1,3179.9227648944884
31,60793.73070495369,life,2025-03-04,50,3,0,42415.19640299967
32,17135.359956360422,auto,2024-10-04,44,10,0,14030.729565932326
33,6598.654139229424,home,2024-11-08,24,2,1,7215.604650495399
34,94893.665171608,home,2024-11-09,23,25,1,67385.67846247766
35,96566.64010414848,home,2025-08-24,32,3,1,59517.08407884588
36,80858.89507683447,auto,2025-08-07,35,16,1,118872.02706959058
37,30530.91554041973,life,2025-06-09,49,2,1,15936.58270158761
38,9857.444189237749,auto,2024-11-17,73,28,1,12841.26696856466
39,68454.87934856447,life,2024-10-05,28,24,1,88172.29076086832
40,44071.23412458617,auto,2024-12-01,37,10,0,35134.20985869172
41,12291.619660993405,home,2025-05-25,41,6,0,7812.880610366199
42,49568.17332011589,home,2025-01-11,32,22,0,32002.6326603263
43,3535.4132594103176,health,2025-05-30,65,26,0,4233.41561681751
44,90941.10816767033,auto,2025-03-27,24,11,1,103928.09781469431
45,25952.12016184169,auto,2025-04-11,38,23,0,33289.969875254625
46,66285.9762069628,health,2025-09-06,59,7,1,95284.84279160405
47,31239.936501332155,home,2025-05-28,43,27,1,37235.7351426486
48,52054.7953156633,auto,2025-06-08,61,29,1,34140.217492648655
49,54716.35690639364,health,2025-07-15,73,15,0,40678.47155835944
50,18566.96010700015,auto,2025-01-11,31,6,1,24920.457456986813
51,96961.5043136794,life,2025-05-12,74,20,1,68775.38413171763
52,77535.76905377534,home,2024-09-22,54,27,0,44390.95814551503
53,93955.94426226249,life,2024-11-08,75,9,1,113055.31368948589
54,89493.25230772211,home,2024-09-18,38,22,1,80770.01884624817
55,59830.207883227406,health,2025-06-01,35,20,1,84961.29154633058
56,92195.23607880936,home,2025-02-22,22,12,1,106048.03783032778
57,8940.400954986757,home,2025-05-14,20,19,1,5278.5823928908685
58,19678.687955672605,health,2024-12-05,40,20,1,28491.917591556095
59,4618.206162162753,home,2025-04-02,43,3,0,3503.1738292966993
60,32600.500043250107,auto,2025-04-22,54,15,0,27293.545829699648
61,38928.861239979255,health,2025-03-03,41,2,1,35123.97044661289
62,27207.7682742122,health,2025-01-18,66,21,1,14997.582923684216
63,82890.87716427774,health,2024-12-14,36,2,1,82602.03745642543
64,35739.65733668957,life,2024-10-16,68,22,0,22277.18928265334
65,28165.35751776934,life,2025-03-14,42,3,1,25376.151364078865
66,54315.33870750902,home,2025-04-09,38,6,1,46206.59027658325
67,14178.330074978789,health,2025-05-03,29,15,1,18046.746835484504
68,80239.47837732856,home,2025-03-13,74,27,1,104565.72209012671
69,7547.609303609105,auto,2024-12-25,78,10,1,4931.705150217923
70,98690.00496639167,health,2025-01-02,58,9,1,85519.94098608843
71,77247.25245273608,auto,2025-01-18,50,1,1,67464.13211062097
72,19951.696585263824,home,2025-07-25,67,16,0,12996.74352988478
73,651.6595006478797,life,2025-01-16,70,6,0,846.1495627161479
74,81564.59670263794,home,2025-04-03,21,9,0,98467.09172867857
75,70715.04865037695,auto,2025-06-01,59,27,0,48820.381605328956
76,72927.81608729463,health,2025-03-08,74,4,1,63208.13594875757
77,77149.90763392598,home,2025-04-06,24,27,1,46737.801711848304
78,7497.060708235627,health,2025-02-14,39,28,0,8458.233349838483
79,35910.72628157283,life,2025-08-21,72,2,0,22313.917101519608
80,11675.319046560458,life,2024-11-29,50,29,1,17348.755500881485
81,86324.0322449718,life,2025-05-23,34,4,1,110553.6407109124
82,62367.482870073036,health,2025-07-01,41,1,0,55521.93749145848
83,33156.71268277965,home,2025-09-05,78,19,1,35761.63441259557
84,6449.479193573761,health,2025-05-03,78,26,1,9102.419678708333
85,31167.133939394655,health,2024-12-04,51,25,0,32853.25345751623
86,32585.81387047203,home,2024-11-18,45,10,0,21979.082133678876
87,72987.6572159726,life,2024-11-21,75,21,1,64134.49931168254
88,63791.99138838579,life,2025-02-12,60,15,1,85681.8856633321
89,88732.55298337502,home,2025-04-15,58,27,1,101528.94206556608
90,47274.27102367873,health,2025-06-27,56,22,0,54399.65641855192
91,12047.46516923634,health,2025-06-05,39,19,1,16466.73424139594
92,71353.1542435772,life,2025-03-29,66,16,1,99464.374580513
